,Schulname,Region,Schultraeger,Schulart,Schulzweig,PLZ,Strasse,Telefon,Fax,ORTSTEIL,Bauten,Fremdsprachen,spez_Angebote,Ganztagsbetrieb,Schulleitung,eMail,Internet,ZweiterBildungsweg,Grundschulteil,GymnasialeOberstufe,Ausstattung,AGs,ausserschulischePartner,Differenzierung,Mittagessen,BemerkungenSchulzweig,Kooperationen,Leistungskurse,DualesLernen,Schuljahr
01B02,Staatliche Technikerschule Berlin,Mitte,öffentlich,Fachschule,Fachschule,10555,Bochumer Str. 8B,3900060,39000682,Moabit,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,"Bautechnik, Chemie, Physik und Biologie, Elektrotechnik, Metalltechnik, Wirtschaft und Verwaltung",,Hr. Platzek,info@technikerschule-berlin.de,http://www.technikerschule-berlin.de,0,0,0,zahlreiche Labore in den unterschiedlichen Fachrichtungen mit  modernen Mess- und Versuchseinrichtungen; über 450 vernetzte Computerarbeitsplätze mit umfangreicher Standard- bzw. fachspezifischer Software,,Beuth Hochschule für Technik Berlin; Berufsausbildungszentrum Lette-Verein; Cisco Local Academy / Cisco Systems GmbH; Microsoft Deutschland GmbH; SAP Deutschland AG & Co. KG,,Mittagessenversorgung durch eigene Cafeteria,"Weiterbildung: Umweltschutz- und Biotechnik; Industrietechnologie; Wirtschaftinformatik; Informatik; Netzwerk-, Bau-, Heizung-, Klima-, Sanitär- und Maschinentechnik; Kommunikations- und Automatisierungstechnnik",,,,2013/14
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Mitte,öffentlich,Oberstufenzentrum,Berufsschule,13359,Osloer Str. 23-26,493070,49307100,Gesundbrunnen,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Elektrotechnik,,komm. Hr. Wannenmacher,verwaltung@oszkim.de,http://www.oszkim.de,0,0,0,,,,,,,,,,2013/14
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Mitte,öffentlich,Oberstufenzentrum,Berufsfachschule,13359,Osloer Str. 23-26,493070,49307100,Gesundbrunnen,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Elektrotechnik,,komm. Hr. Wannenmacher,verwaltung@oszkim.de,http://www.oszkim.de,0,0,0,,,,,,(1- u. mehrjährig),,,,2013/14
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Mitte,öffentlich,Oberstufenzentrum,Fachoberschule,13359,Osloer Str. 23-26,493070,49307100,Gesundbrunnen,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Elektrotechnik,,komm. Hr. Wannenmacher,verwaltung@oszkim.de,http://www.oszkim.de,0,0,0,,,,,,für Technik (1- u. 2-jährig),,,,2013/14
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Mitte,öffentlich,Oberstufenzentrum,Berufliches Gymnasium,13359,Osloer Str. 23-26,493070,49307100,Gesundbrunnen,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch",Elektrotechnik,,komm. Hr. Wannenmacher,verwaltung@oszkim.de,http://www.oszkim.de,0,0,0,,,,,,,,,,2013/14
01B03,"OSZ Kommunikations-, Informations- und Medientechnik",Mitte,öffentlich,Oberstufenzentrum,Berufsoberschule,13359,Osloer Str. 23-26,493070,49307100,Gesundbrunnen,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Elektrotechnik,,komm. Hr. Wannenmacher,verwaltung@oszkim.de,http://www.oszkim.de,0,0,0,,,,,,,,,,2013/14
01B04,OSZ Gesundheit I,Mitte,öffentlich,Oberstufenzentrum,Berufsschule,13349,Schwyzer Str. 6-8,4530800,45308077,Wedding,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","Englisch, Französisch",Gesundheit,,Fr. Heringhaus,sekretariat@osz-gesundheit.de,http://www.osz-gesundheit.de,0,0,0,,,,,,für Tier- u. Medizin Fachangestellte; Zahnmedizinische Fachangestellte; Pharmazeutisch kaufm. Angestellte;  Berufsvorb. Lehrgänge,,,,2013/14
01B04,OSZ Gesundheit I,Mitte,öffentlich,Oberstufenzentrum,Berufsfachschule,13349,Schwyzer Str. 6-8,4530800,45308077,Wedding,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,Gesundheit,,Fr. Heringhaus,sekretariat@osz-gesundheit.de,http://www.osz-gesundheit.de,0,0,0,,,,,,für Sekretär/in (2-jährig);  Fachrichrung: Gesundheit (1-jährig),,,,2013/14
01B04,OSZ Gesundheit I,Mitte,öffentlich,Oberstufenzentrum,Berufsoberschule,13349,Schwyzer Str. 6-8,4530800,45308077,Wedding,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",,Gesundheit,,Fr. Heringhaus,sekretariat@osz-gesundheit.de,http://www.osz-gesundheit.de,0,0,0,,,,,,,,,,2013/14
01B05,Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin,Mitte,öffentlich,Kombinierte berufliche Schule,Berufsfachschule,10117,Niederwallstr. 6-7,20613130,20613131,Mitte,,,Wirtschaft und Verwaltung,,Hr. Reichl,info@hotelfachschule-berlin.de,http://www.hotelfachschule-berlin.de,0,0,0,,,,,,,,,,2013/14
01B05,Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin,Mitte,öffentlich,Kombinierte berufliche Schule,Fachschule,10117,Niederwallstr. 6-7,20613130,20613131,Mitte,,"Englisch, Französisch, Spanisch, Italienisch",Wirtschaft und Verwaltung,,Hr. Reichl,info@hotelfachschule-berlin.de,http://www.hotelfachschule-berlin.de,0,0,0,"Derzeit Errichtung eines Neubaus am Hausvogteiplatz, der Praxisräume (Küche, Servicebereich und Hausdamenabteilung) beherbergen wird.",,"Kooperation Deutscher Hotelfachschulen (DEHOFA) Wirtschaftsschulen für Hotellerie und Gastronomie;

Hotelfachschule Heidelberg; Hotelfachschule Hannover; Hotelfachschule Hamburg; Johnson & Wales University (USA); Deutscher Hotel- und Gaststättenverband e.V. (DEHOGA); ARAMARK Holdings GmbH & Co. KG (Catering); HILTON Hotels and Resorts; Kempinski Hotel Bristol Berlin; Hotel Adlon Berlin; The Westin Grand Hotel Berlin; Holiday Inn Berlin und viele weitere Hotels; Radeberger Gruppe KG / Berliner-Kindl-Schultheiss-Brauerei; Wiegand Public Relations u.v.m.",,,"für Betriebswirte, ""Staatlich geprüfte/r Betriebswirt/in (Hotel- und Gaststättengewerbe)""",in Kooperation mit 03B04,,,2013/14
01E03,ETI Schauspielschule Berlin,Mitte,privat,Künstlerische Schule,Künstlerische Schule,10179,Rungestr. 20,27593109,27593110,Mitte,,,Staatlich anerkannte Ergänzungsschule,,Hr. Oldiges,mail@eti-berlin.de,http://www.eti-schauspielschule-berlin.de,0,0,0,,,,,,3-jährige Ausbildung zum Schauspieler,,,,2013/14
01E08,Games Academy,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10179,Rungestr. 20,29779120,29779150,Mitte,,,Ergänzungsschule,,Hr. Dlugaiczyk,info@games-academy.de,http://games-academy.de,0,0,0,,,,,,,,,,2013/14
01E10,SiliconStudioAcademy-Berlin,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,13347,Groninger Str. 25,45601331,45601333,Wedding,,,Ergänzungsschule,,Hr. Koch,info@siliconstudio.de,http://www.siliconstudio.de,0,0,0,,,,,,,,,,2013/14
01E12,SSI am Alex Institut für Tourismus und Marketing,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10178,Panoramastr. 1,28045379,28045381,Mitte,,,Ergänzungsschule,,Fr. Smettan,ssiamalex@aol.com,http://www.ssi-berlin.de,0,0,0,,,,,,,,,,2013/14
01E13,Seminar für Waldorfpädagogik Berlin,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10178,Weinmeisterstr. 16,6187073,6124227,Mitte,,,Ergänzungsschule,,Hr. Steinmann,info@lehrer-seminar-berlin.de,http://www.lehrer-seminar-berlin.de,0,0,0,,,,,,,,,,2013/14
01E16,ProInform International Academy Berlin,Mitte,privat,Wirtschafts- und Verwaltungsschule,Wirtschafts- u. Verwaltungsschule,10117,Friedrichstr. 200,22334433,24535982,Mitte,,,Ergänzungsschule,,Hr. Schael,proinform@arcor.de,http://home.arcor.de/pr/proinform,0,0,0,,,,,,,,,,2013/14
01E18,BEST-Sabel-Touristikakademie,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10179,Rungestr. 18,64094985,64094987,Mitte,,,Ergänzungsschule,,Fr. Dr. Pflicke,touristik@best-sabel.de,http://www.best-sabel.de,0,0,0,Computerräume; Smartboards; Schülerräume & Lounge; Schulbibliothek,,BEST-Sabel-Hochschule Berlin; Internationale Hotelketten weltweit; TUI AG; Thomas Cook Group; Neckermann Reisen; Robinson Club GmbH; Costa Kreuzfahrten; Deutscher Heilbäderverband e.V.,,Mittagessenversorgung,Staatlich anerkannte/r internationale/r Touristikassistent/in mit Vertiefungsrichtung Cruisemanagement ; Staatlich anerkannte/r internationale/r Touristikassistent/in ; Staatlich anerkannte/r internationale/r Hotelmanagementassistent/in,,,,2013/14
01E20,Pflegeschule am Brandenburger Tor,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10117,Wilhelmstr. 88,22489965,22489967,Mitte,,,Ergänzungsschule,,Fr. Livchits,pflegedienst@01019freenet.de,,0,0,0,,,,,,,,,,2013/14
01E21,IN.D INSTITUTE OF DESIGN,Mitte,privat,Künstlerische Schule,Künstlerische Schule,10179,Wallstr. 15A,27595190,,Mitte,,,Ergänzungsschule,,Fr. Krämer,info@ind-berlin.de,http://www.ind-berlin.de,0,0,0,,,,,,3-jährige Ausbildung zum Kommunikations-Designer/-in,,,,2013/14
01E25,GPB Gesellschaft für Personalentwicklung und Bildung mbH,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10117,Beuthstr. 8,9339480,93772355,Mitte,,,Ergänzungsschule,,Fr. Herbst-Illus,privatschule@gpb-berlin.de,http://www.gpb.de,0,0,0,,,,,,"Kaufmann/-frau für Marketingkommunikation (3-jährig, IHK); 3D-/ Game-Designer (2-jährig); Mediengestalter/-in Bild und Ton (IHK)",,,,2013/14
01E26,Berlitz Sprachschule Berlin Mitte,Mitte,privat,Sprachenschule,Sprachenschule,10117,Friedrichstr. 95,2042124,2042161,Mitte,,,Ergänzungsschule,,Hr. Gedrat,berlin4@berlitz.de,http://www.berlitz.de/berlin,0,0,0,,,,,,,,,,2013/14
01E27,pixelapostel GmbH,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10553,Wiebestr. 46,667767630,6677676316,Moabit,,,Ergänzungsschule,,N.N.,,http://www.pixelapostel.de,0,0,0,,,,,,,,,,2013/14
01E28,lingua franca,Mitte,privat,Sprachenschule,Sprachenschule,10117,Mauerstr. 77,86398080,86398082,Mitte,,,Ergänzungsschule,,Hr. Arrigo,info@lingua-franca.de,http://www.lingua-franca.de,0,0,0,,,,,,,,,,2013/14
01E29,inlingua Sprachcenter Berlin GmbH,Mitte,privat,Sprachenschule,Sprachenschule,10117,Kronenstr. 55,88471190,884711999,Mitte,,,Ergänzungsschule,,Hr. Ramsey,info@inlingua-berlin.de,http://www.inlingua-berlin.de,0,0,0,,,,,,,,,,2013/14
01E30,Ecole Voltaire Berlin,Mitte,privat,Ausländische Schule,Ausländische Schule,10785,Kurfürstenstr. 53,4110015,4110014,Tiergarten,,,Ergänzungsschule,,Hr. Thiney,secretariat@ecolevoltaire.de,http://www.ecolevoltaire.de,0,0,0,,,,,,,,,,2013/14
01E31,Maskenbildnerschule Hasso von Hugo GmbH,Mitte,privat,Künstlerische Schule,Künstlerische Schule,10785,Lützowstr. 105,6135620,6135720,Tiergarten,,,Ergänzungsschule,,Fr. von Hugo,kontakt@maskenbildnerschule.de,http://www.maskenbildnerschule.de,0,0,0,,,,,,,,,,2013/14
01E32,Wave Akademie für Digitale Medien,Mitte,privat,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,10557,Lehrter Str. 17,28869519,28869486,Moabit,,,Ergänzungsschule,,Hr. Dickmann,info@wave-akademie.de,http://www.wave-akademie.de,0,0,0,,,,,,"Sounddesign, Tonmeister, 3D / Game Artist, Game Developer, Mediendesign AV, Musik- und Medienmanagement (2-jährig), Audio Enginee, Music Producer, Game Design (1-jährig)",,,,2013/14
01G01,Grundschule am Arkonaplatz,Mitte,öffentlich,Grundschule,Grundschule,10115,Ruppiner Str. 47-48,48625680,486256820,Mitte,,"1. Fremdsprache Englisch, 1. Fremdsprache Französisch","Ganztagsschule in gebundener Form, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, sprachbetontes Profil, Staatliche Europaschule Berlin Deutsch/Französisch",,Fr. Große,info@grundschule-am-arkonaplatz.de,http://www.grundschuleamarkonaplatz.de,0,0,0,,"Theater, Chor, Basketball, Judo, Fußball, Zirkus, Handball, Gitarre, Klavier, Blockföte, Cello, Tanzen, Englisch Kl. 1/2, Französisch Kl. 1/2,Sportspiele",,,,"Modellschule im Projekt ""Schulqualität in Berlin""; Klassen mit Montessori-orientiertem Unterricht; Klassen mit Einzelintegration",,,,2013/14
01G02,Papageno-Grundschule,Mitte,öffentlich,Grundschule,Grundschule,10115,Bergstr. 58,30881711,30881710,Mitte,,1. Fremdsprache Englisch,"Ganztagsschule in offener Form, musikbetontes Profil, Umwelterziehung",Offener Ganztagsbetrieb,Fr. Stemmler,papageno-grundschule.cids@t-online.de,http://www.papageno.cidsnet.de,0,0,0,,,,,,Einzelintegration,,,,2013/14
01G04,Kastanienbaum-Grundschule,Mitte,öffentlich,Grundschule,Grundschule,10119,Gipsstr. 23A,275816330,275816350,Mitte,,"1. Fremdsprache Englisch, Fremdsprache ab Klasse 1 Englisch",Ganztagsschule in offener Form,Offener Ganztagsbetrieb,Fr. Neßnau,sekretariat@kastanienbaumgrundschule.de,http://www.kastanienbaumgrundschule.de,0,0,0,,Judo; Basketball; Handball; Schulchor; Musikalische Früherziehung; Schach; Kinderfitness; Tanzen; Forscherclub; Gestalten mit Naturmaterialien; Natur und Technik; Kinderatelier; Sternstunde; Stadtsafari; Arbeiten mit Ton; Theater; Dart; Hörspiel,Musikschule Mitte Fanny Hensel; ALBA Berlin (Basketball); PSV Olympia Berlin e.V. (Judo); Sport- und Spielverein Rotation Berlin e.V. (Badminton); Pro Sport 24 e.V. (Abteilung Handball),,Mittagessenversorgung durch den Anbieter Sunshine Catering,"""Kunst des Lernens"" mit den Schwerpunkten: Sprache, Kunst, Musik, Naturwissenschaften und Bewegung",,,,2013/14
01G05,Grundschule Neues Tor,Mitte,öffentlich,Grundschule,Grundschule,10115,Hannoversche Str. 20,24088330,24088340,Mitte,,1. Fremdsprache Englisch,"Ganztagsschule in gebundener Form, Staatliche Europaschule Berlin Deutsch/Portugiesisch",Gebundener Ganztagsbetrieb,Fr. Grafenhorst,grafenhorst@neues-tor.de,http://www.neues-tor.de,0,0,0,,,,,,,,,,2013/14
01G07,GutsMuths-Grundschule,Mitte,öffentlich,Grundschule,Grundschule,10179,Singerstr. 8,2408386,24083888,Mitte,,1. Fremdsprache Englisch,"Ganztagsschule in offener Form, Neigungsorientierte Einrichtung von Klassen, sportbetontes Profil",Offener Ganztagsbetrieb,Fr. Schlaak,GutsMuths-Grundschule@t-online.de,http://www.gutsmuths-g.cidsnet.de,0,0,0,,Sport-AG`s,"Kita Lichtenberger Straße; Kita Weydemeyerstraße; ALBA Berlin (Basketball); Berliner Polizei; Kinderverein ""Ottokar"" e.V.; ABC Zentrum Berlin e.V. (Athletik und Ballspielclub); Bücherbusse der CitySchulbibliothek Berlin; K*I*D*S e.V. (Netzwerk zur Unterstützung von Familien in Konflikt- und Krisensituationen)",,Mittagessenversorgung durch den Anbieter Warnhoff,Teilnahme an Jugend trainiert für Olympia (Schwimmen & Leichtatheltik),in Kooperation mit 01Y11,,,2013/14
01G08,Grundschule am Brandenburger Tor,Mitte,öffentlich,Grundschule,Grundschule,10117,Wilhelmstr. 52,20629430,20629440,Mitte,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",1. Fremdsprache Englisch,"Ganztagsschule in gebundener Form, Ganztagsschule in offener Form, Staatliche Europaschule Berlin Deutsch/Russisch",Gebundener Ganztagsbetrieb,Hr. Köller,GS_am_Brandenburger_Tor.cids@t-online.de,http://www.Grundschule-am-Brandenburger-Tor.de,0,0,0,Internetcafé; Toberaum; Werkstatt für Holz- und Metallbearbeitung; Töpfern; Malerei und Elektronik,AG-Angebot durch die Technische Jugendfreizeit- u. Bildungsgesellschaft gGmbH: Basketball; Fußball; Kampfsport und Selbstverteidigung; Fitness u. Entspannung; Theater-Spaß; Verkehrsgarten; Kreativ-AG; Keramik u. Töpfern; Sportspiele; Puppentheater; Waldküche; Wunder der Technik; Reise zur Stille; Zirkus; Blockflöte; Märchen; Basteln; Handarbeit; Englisch; Maskenbau; Basteln mit Leder; Brandschutz,Technische Jugendfreizeit- und Bildungsgesellschaft (tjfbg) gGmbH; Sportverein IHW Alex 78 Berlin e.V.,,Mittagessenversorgung durch die Technische Jugendfreizeit- u. Bildungsgesellschaft gGmbH,Informatikunterricht in Jahrgangsstufe 5 / 6,,,,2013/14
01G10,City-Grundschule,Mitte,öffentlich,Grundschule,Grundschule,10179,Sebastianstr. 57,28449060,28449070,Mitte,,1. Fremdsprache Englisch,Ganztagsschule in offener Form,Offener Ganztagsbetrieb,Hr. Schmidt,info@city-grundschule.de,http://www.city-grundschule.de,0,0,0,,,,,,,,,,2013/14
01G11,Kurt-Tucholsky-Grundschule,Mitte,öffentlich,Grundschule,Grundschule,10559,Rathenower Str. 18,3974429310,3974429338,Moabit,"rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",1. Fremdsprache Englisch,Ganztagsschule in offener Form,Offener Ganztagsbetrieb,Fr. Pakulat,info@kurt-tucholsky-grundschule.de,http://www.kurt-tucholsky-grundschule.de,0,0,0,Werkstatt; Lehrküche u.a.,Fußball; Basketball; Schwimmen; Sport-Spiel-Spaß; Tanzen (Anfänger und Fortgeschrittene); Bücher/Lesen; Chor; Instrumentalunterricht; Drucken mit verschiedenen Materialien; Computer; Mathe-Profi; Textilwerkstatt u.a.,"Berliner Polizei; Moabiter Ratschlag e.V. (Schulsozialarbeit); Bücherbusse der CitySchulbibliothek Berlin; Musikschule ""Fröhlich""; Musikschule ""Klangbaum""; Hochschule für Musik ""Hanns Eisler"" Berlin; diverse Sportvereine und Kitas",,Mittagessenversorgung durch den Anbieter LUNA,"Schwerpunkt Gesundheit; Teilnahme am Projekt ""Musikalische Grundschule""",in Kooperation mit 01K05,,,2013/14
01G15,Anne-Frank-Grundschule,Mitte,öffentlich,Grundschule,Grundschule,10557,Paulstr. 20B,20629180,20629188,Moabit,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Fremdsprache ab Klasse 1 Englisch,"Ganztagsschule in offener Form, sportbetontes Profil, theaterbetontes Profil",Offener Ganztagsbetrieb,komm. Hr. Kleiber,sekretariat@anne-frank-grundschule.de,http://anne-frank-grundschule.de,0,0,0,Jede Klasse besitzt mindestens einen PC / Drucker; zwei Computerräume mit je 12 Arbeitsplätzen; alle PCs der Schule (auch die in den Klassenräumen) besitzen einen Internetanschluss,Schwimmen (Jg. 4 - 6); Fußball (Jg. 4 - 6); Fitness (Jg. 4 - 6); Badminton (Jg. 4 - 6); Drachenboot (Jg. 4 - 6); Tischtennis (Jg. 4 - 6); Musiktheater (Jg. 4 + 5); Buddy-Projekt (Jg. 5 + 6); Keramik (Jg. 4 - 6); Garten (Jg. 2 - 4); Kunst (Jg. 5); Kino (Jg. 3 - 6); Kleine Experimente (Jg. 2 + 3),"Freie Universität Berlin; Christliches Jugenddorfwerk Deutschland e.V. (CJD) für berufliche Orientierung; Landessportbund Berlin e.V. (SportJugendBerlin); Polizeidirektion 3; SV Siegfried-Nordwest Berlin 1887 e.V.; Lichtenauer Mineralquellen GmbH (Wasserlauf); Frecher Spatz e.V. (Träger für verschiedene Kinder und Schülerläden, Jugendprojekte und Spielplatzangebote); Landeskriminalamt (LKA) Berlin; Lesepaten",,Mittagessenversorgung,tägliches Mediationsangebot; Schulgartenarbeit,in Kooperation mit 01G16,,,2013/14
