Schuljahr,bsn,Text,Personal_M,Personal_W
2012/13,02B02,Lehrkräfte,47,15
2012/13,02B02,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,02B03,Lehrkräfte,12,55
2012/13,02B03,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02B04,Lehrkräfte,94,142
2012/13,02B04,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02B04,Studienreferendare und Lehramtsanwärter,4,10
2012/13,02B05,Lehrkräfte,36,89
2012/13,02B05,Studienreferendare und Lehramtsanwärter,0,3
2012/13,02G01,Erzieher(innen),2,15
2012/13,02G01,Lehrkräfte,7,19
2012/13,02G01,Studienreferendare und Lehramtsanwärter,0,2
2012/13,02G02,Erzieher(innen),3,25
2012/13,02G02,Lehrkräfte,7,37
2012/13,02G02,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G03,Erzieher(innen),3,16
2012/13,02G03,Lehrkräfte,4,24
2012/13,02G03,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G04,Erzieher(innen),0,17
2012/13,02G04,Lehrkräfte,1,28
2012/13,02G04,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G05,Erzieher(innen),1,15
2012/13,02G05,Lehrkräfte,3,21
2012/13,02G05,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G07,Erzieher(innen),1,14
2012/13,02G07,Lehrkräfte,3,17
2012/13,02G08,Erzieher(innen),0,12
2012/13,02G08,Lehrkräfte,1,24
2012/13,02G09,Erzieher(innen),1,17
2012/13,02G09,Lehrkräfte,2,25
2012/13,02G09,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G10,Erzieher(innen),3,12
2012/13,02G10,Lehrkräfte,2,22
2012/13,02G10,Studienreferendare und Lehramtsanwärter,0,2
2012/13,02G11,Erzieher(innen),3,7
2012/13,02G11,Lehrkräfte,3,16
2012/13,02G12,Erzieher(innen),2,16
2012/13,02G12,Lehrkräfte,5,19
2012/13,02G13,Erzieher(innen),4,22
2012/13,02G13,Lehrkräfte,5,36
2012/13,02G13,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02G13,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G14,Erzieher(innen),0,11
2012/13,02G14,Lehrkräfte,4,30
2012/13,02G15,Erzieher(innen),1,15
2012/13,02G15,Lehrkräfte,5,20
2012/13,02G15,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,02G16,Erzieher(innen),1,23
2012/13,02G16,Lehrkräfte,5,22
2012/13,02G18,Lehrkräfte,9,25
2012/13,02G18,Studienreferendare und Lehramtsanwärter,0,2
2012/13,02G19,Erzieher(innen),0,2
2012/13,02G19,Lehrkräfte,5,21
2012/13,02G20,Lehrkräfte,10,33
2012/13,02G20,Studienreferendare und Lehramtsanwärter,0,3
2012/13,02G21,Erzieher(innen),5,18
2012/13,02G21,Lehrkräfte,8,45
2012/13,02G21,Studienreferendare und Lehramtsanwärter,1,2
2012/13,02G22,Erzieher(innen),0,21
2012/13,02G22,Lehrkräfte,3,29
2012/13,02G23,Lehrkräfte,6,24
2012/13,02G23,Studienreferendare und Lehramtsanwärter,0,2
2012/13,02G24,Erzieher(innen),7,15
2012/13,02G24,Lehrkräfte,8,33
2012/13,02G24,Studienreferendare und Lehramtsanwärter,0,5
2012/13,02G26,Erzieher(innen),2,11
2012/13,02G26,Lehrkräfte,6,27
2012/13,02G26,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G27,Erzieher(innen),3,24
2012/13,02G27,Lehrkräfte,8,31
2012/13,02G27,Studienreferendare und Lehramtsanwärter,0,2
2012/13,02G29,Erzieher(innen),2,21
2012/13,02G29,Lehrkräfte,6,25
2012/13,02G29,Studienreferendare und Lehramtsanwärter,1,2
2012/13,02G31,Lehrkräfte,9,24
2012/13,02G32,Lehrkräfte,2,21
2012/13,02G32,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02G33,Erzieher(innen),0,18
2012/13,02G33,Lehrkräfte,6,34
2012/13,02G34,Lehrkräfte,0,11
2012/13,02G35,Erzieher(innen),4,15
2012/13,02G35,Lehrkräfte,10,24
2012/13,02G35,Studienreferendare und Lehramtsanwärter,1,2
2012/13,02K01,Erzieher(innen),0,1
2012/13,02K01,Lehrkräfte,17,48
2012/13,02K01,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,02K01,Studienreferendare und Lehramtsanwärter,1,1
2012/13,02K02,Erzieher(innen),0,6
2012/13,02K02,Lehrkräfte,43,78
2012/13,02K02,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,2
2012/13,02K02,Studienreferendare und Lehramtsanwärter,3,10
2012/13,02K03,Erzieher(innen),2,2
2012/13,02K03,Lehrkräfte,28,39
2012/13,02K03,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,1
2012/13,02K03,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02K04,Erzieher(innen),0,3
2012/13,02K04,Lehrkräfte,18,28
2012/13,02K04,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02K04,Studienreferendare und Lehramtsanwärter,1,4
2012/13,02K05,Lehrkräfte,8,21
2012/13,02K05,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02K06,Lehrkräfte,11,20
2012/13,02K06,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02K06,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02K07,Lehrkräfte,8,19
2012/13,02K07,Studienreferendare und Lehramtsanwärter,1,1
2012/13,02K08,Lehrkräfte,33,24
2012/13,02K08,Päd. Mitarbeiter(innen) / Unterrichtshilfen,4,3
2012/13,02K08,Studienreferendare und Lehramtsanwärter,1,1
2012/13,02K09,Lehrkräfte,9,12
2012/13,02K09,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,02K09,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02K10,Lehrkräfte,18,22
2012/13,02S01,Erzieher(innen),1,17
2012/13,02S01,Lehrkräfte,5,42
2012/13,02S01,Studienreferendare und Lehramtsanwärter,0,6
2012/13,02S02,Erzieher(innen),0,4
2012/13,02S02,Lehrkräfte,5,28
2012/13,02S02,Päd. Mitarbeiter(innen) / Unterrichtshilfen,4,36
2012/13,02S02,Studienreferendare und Lehramtsanwärter,3,2
2012/13,02S03,Erzieher(innen),1,15
2012/13,02S03,Lehrkräfte,6,31
2012/13,02S03,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02S03,Studienreferendare und Lehramtsanwärter,0,6
2012/13,02S04,Erzieher(innen),0,8
2012/13,02S04,Lehrkräfte,1,19
2012/13,02S04,Studienreferendare und Lehramtsanwärter,1,6
2012/13,02S05,Lehrkräfte,4,4
2012/13,02S06,Erzieher(innen),1,8
2012/13,02S06,Lehrkräfte,6,23
2012/13,02S06,Studienreferendare und Lehramtsanwärter,0,1
2012/13,02Y01,Lehrkräfte,23,36
2012/13,02Y01,Studienreferendare und Lehramtsanwärter,2,3
2012/13,02Y03,Lehrkräfte,18,22
2012/13,02Y03,Studienreferendare und Lehramtsanwärter,2,3
2012/13,02Y04,Lehrkräfte,14,26
2012/13,02Y04,Studienreferendare und Lehramtsanwärter,1,3
2012/13,02Y05,Lehrkräfte,14,51
2012/13,02Y05,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,02Y05,Studienreferendare und Lehramtsanwärter,4,5
2012/13,02Y06,Lehrkräfte,25,41
2012/13,02Y06,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,0
2012/13,02Y06,Studienreferendare und Lehramtsanwärter,4,6
2012/13,02Y07,Lehrkräfte,18,25
2012/13,02Y07,Studienreferendare und Lehramtsanwärter,2,3
2012/13,02Y08,Lehrkräfte,27,24
2012/13,02Y08,Studienreferendare und Lehramtsanwärter,2,4
2012/13,03A04,Lehrkräfte,10,19
2012/13,03A05,Lehrkräfte,1,4
2012/13,03B02,Lehrkräfte,10,42
2012/13,03B03,Lehrkräfte,47,30
2012/13,03B03,Studienreferendare und Lehramtsanwärter,3,1
2012/13,03B04,Lehrkräfte,54,104
2012/13,03B04,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03B04,Studienreferendare und Lehramtsanwärter,2,11
2012/13,03B06,Lehrkräfte,16,24
2012/13,03B06,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03B07,Lehrkräfte,39,47
2012/13,03B07,Studienreferendare und Lehramtsanwärter,4,4
2012/13,03B08,Erzieher(innen),5,11
2012/13,03B08,Lehrkräfte,27,30
2012/13,03B08,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03B08,Studienreferendare und Lehramtsanwärter,3,1
2012/13,03B09,Lehrkräfte,51,47
2012/13,03B09,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03B09,Studienreferendare und Lehramtsanwärter,2,4
2012/13,03G01,Erzieher(innen),0,14
2012/13,03G01,Lehrkräfte,2,18
2012/13,03G02,Erzieher(innen),2,15
2012/13,03G02,Lehrkräfte,0,24
2012/13,03G02,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G03,Erzieher(innen),1,15
2012/13,03G03,Lehrkräfte,3,25
2012/13,03G03,Studienreferendare und Lehramtsanwärter,1,1
2012/13,03G04,Erzieher(innen),0,10
2012/13,03G04,Lehrkräfte,2,25
2012/13,03G04,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G05,Erzieher(innen),3,17
2012/13,03G05,Lehrkräfte,3,26
2012/13,03G05,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G06,Erzieher(innen),0,8
2012/13,03G06,Lehrkräfte,2,16
2012/13,03G08,Erzieher(innen),1,14
2012/13,03G08,Lehrkräfte,6,29
2012/13,03G08,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03G08,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G09,Lehrkräfte,2,26
2012/13,03G09,Studienreferendare und Lehramtsanwärter,0,2
2012/13,03G10,Erzieher(innen),1,19
2012/13,03G10,Lehrkräfte,1,22
2012/13,03G10,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03G10,Studienreferendare und Lehramtsanwärter,0,2
2012/13,03G11,Erzieher(innen),2,20
2012/13,03G11,Lehrkräfte,7,30
2012/13,03G11,Studienreferendare und Lehramtsanwärter,1,3
2012/13,03G12,Erzieher(innen),1,15
2012/13,03G12,Lehrkräfte,3,22
2012/13,03G13,Lehrkräfte,1,17
2012/13,03G14,Erzieher(innen),1,20
2012/13,03G14,Lehrkräfte,3,26
2012/13,03G14,Studienreferendare und Lehramtsanwärter,0,2
2012/13,03G15,Lehrkräfte,0,6
2012/13,03G16,Erzieher(innen),1,9
2012/13,03G16,Lehrkräfte,3,13
2012/13,03G17,Erzieher(innen),0,14
2012/13,03G17,Lehrkräfte,1,20
2012/13,03G17,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G18,Erzieher(innen),1,17
2012/13,03G18,Lehrkräfte,5,25
2012/13,03G20,Erzieher(innen),0,10
2012/13,03G20,Lehrkräfte,3,13
2012/13,03G20,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03G20,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G21,Erzieher(innen),0,14
2012/13,03G21,Lehrkräfte,2,22
2012/13,03G22,Erzieher(innen),0,9
2012/13,03G22,Lehrkräfte,1,15
2012/13,03G23,Erzieher(innen),0,14
2012/13,03G23,Lehrkräfte,2,14
2012/13,03G23,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G24,Erzieher(innen),0,24
2012/13,03G24,Lehrkräfte,4,24
2012/13,03G25,Erzieher(innen),1,16
2012/13,03G25,Lehrkräfte,3,21
2012/13,03G25,Studienreferendare und Lehramtsanwärter,0,2
2012/13,03G26,Erzieher(innen),0,15
2012/13,03G26,Lehrkräfte,0,22
2012/13,03G27,Erzieher(innen),0,15
2012/13,03G27,Lehrkräfte,2,20
2012/13,03G28,Erzieher(innen),0,15
2012/13,03G28,Lehrkräfte,4,22
2012/13,03G28,Studienreferendare und Lehramtsanwärter,1,2
2012/13,03G29,Erzieher(innen),1,13
2012/13,03G29,Lehrkräfte,1,18
2012/13,03G32,Erzieher(innen),0,15
2012/13,03G32,Lehrkräfte,2,21
2012/13,03G32,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03G33,Erzieher(innen),1,10
2012/13,03G33,Lehrkräfte,2,31
2012/13,03G33,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G34,Erzieher(innen),0,16
2012/13,03G34,Lehrkräfte,2,24
2012/13,03G35,Erzieher(innen),0,5
2012/13,03G35,Lehrkräfte,0,8
2012/13,03G35,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G36,Erzieher(innen),1,7
2012/13,03G36,Lehrkräfte,1,9
2012/13,03G37,Erzieher(innen),1,15
2012/13,03G37,Lehrkräfte,2,15
2012/13,03G37,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G38,Erzieher(innen),1,16
2012/13,03G38,Lehrkräfte,2,21
2012/13,03G38,Studienreferendare und Lehramtsanwärter,2,1
2012/13,03G39,Erzieher(innen),0,13
2012/13,03G39,Lehrkräfte,1,23
2012/13,03G39,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G40,Erzieher(innen),0,15
2012/13,03G40,Lehrkräfte,1,24
2012/13,03G41,Erzieher(innen),1,15
2012/13,03G41,Lehrkräfte,4,24
2012/13,03G43,Lehrkräfte,3,17
2012/13,03G43,Studienreferendare und Lehramtsanwärter,0,4
2012/13,03G44,Lehrkräfte,0,15
2012/13,03G44,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03G45,Erzieher(innen),0,6
2012/13,03G45,Lehrkräfte,1,6
2012/13,03G46,Lehrkräfte,1,6
2012/13,03G47,Erzieher(innen),2,8
2012/13,03G47,Lehrkräfte,1,14
2012/13,03K01,Erzieher(innen),0,3
2012/13,03K01,Lehrkräfte,22,55
2012/13,03K01,Päd. Mitarbeiter(innen) / Unterrichtshilfen,1,1
2012/13,03K01,Studienreferendare und Lehramtsanwärter,4,5
2012/13,03K02,Erzieher(innen),0,2
2012/13,03K02,Lehrkräfte,19,42
2012/13,03K02,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03K02,Studienreferendare und Lehramtsanwärter,1,3
2012/13,03K03,Lehrkräfte,8,24
2012/13,03K03,Studienreferendare und Lehramtsanwärter,1,0
2012/13,03K04,Lehrkräfte,10,25
2012/13,03K04,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03K05,Lehrkräfte,11,23
2012/13,03K05,Studienreferendare und Lehramtsanwärter,0,4
2012/13,03K06,Lehrkräfte,9,24
2012/13,03K06,Studienreferendare und Lehramtsanwärter,0,2
2012/13,03K07,Lehrkräfte,8,25
2012/13,03K07,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03K08,Lehrkräfte,13,23
2012/13,03K08,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03K09,Lehrkräfte,8,21
2012/13,03K10,Lehrkräfte,16,21
2012/13,03K10,Studienreferendare und Lehramtsanwärter,1,1
2012/13,03K11,Erzieher(innen),1,4
2012/13,03K11,Lehrkräfte,9,25
2012/13,03K12,Erzieher(innen),0,1
2012/13,03K12,Lehrkräfte,3,16
2012/13,03K12,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03K12,Studienreferendare und Lehramtsanwärter,2,3
2012/13,03S01,Lehrkräfte,2,11
2012/13,03S03,Erzieher(innen),1,6
2012/13,03S03,Lehrkräfte,4,27
2012/13,03S03,Päd. Mitarbeiter(innen) / Unterrichtshilfen,4,43
2012/13,03S03,Studienreferendare und Lehramtsanwärter,1,2
2012/13,03S06,Erzieher(innen),0,1
2012/13,03S06,Lehrkräfte,0,16
2012/13,03S06,Studienreferendare und Lehramtsanwärter,0,2
2012/13,03S07,Erzieher(innen),0,2
2012/13,03S07,Lehrkräfte,4,18
2012/13,03S07,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03S08,Erzieher(innen),0,5
2012/13,03S08,Lehrkräfte,3,16
2012/13,03S08,Päd. Mitarbeiter(innen) / Unterrichtshilfen,3,23
2012/13,03S08,Studienreferendare und Lehramtsanwärter,1,4
2012/13,03S09,Erzieher(innen),1,12
2012/13,03S09,Lehrkräfte,2,16
2012/13,03S09,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03S10,Erzieher(innen),1,12
2012/13,03S10,Lehrkräfte,12,46
2012/13,03S10,Päd. Mitarbeiter(innen) / Unterrichtshilfen,2,15
2012/13,03S10,Studienreferendare und Lehramtsanwärter,1,3
2012/13,03S11,Erzieher(innen),0,2
2012/13,03S11,Lehrkräfte,1,9
2012/13,03S11,Studienreferendare und Lehramtsanwärter,0,1
2012/13,03Y03,Lehrkräfte,24,33
2012/13,03Y03,Studienreferendare und Lehramtsanwärter,1,3
2012/13,03Y04,Lehrkräfte,20,41
2012/13,03Y04,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,03Y04,Studienreferendare und Lehramtsanwärter,2,12
2012/13,03Y08,Lehrkräfte,21,55
2012/13,03Y08,Studienreferendare und Lehramtsanwärter,4,3
2012/13,03Y10,Lehrkräfte,30,36
2012/13,03Y10,Studienreferendare und Lehramtsanwärter,3,11
2012/13,03Y13,Lehrkräfte,12,46
2012/13,03Y13,Studienreferendare und Lehramtsanwärter,2,7
2012/13,03Y14,Lehrkräfte,25,55
2012/13,03Y14,Studienreferendare und Lehramtsanwärter,3,3
2012/13,03Y15,Lehrkräfte,20,44
2012/13,03Y15,Studienreferendare und Lehramtsanwärter,2,10
2012/13,03Y16,Lehrkräfte,13,32
2012/13,03Y16,Studienreferendare und Lehramtsanwärter,0,2
2012/13,04A04,Lehrkräfte,19,29
2012/13,04A04,Studienreferendare und Lehramtsanwärter,0,4
2012/13,04A06,Lehrkräfte,9,10
2012/13,04A08,Erzieher(innen),3,2
2012/13,04A08,Lehrkräfte,29,34
2012/13,04A08,Studienreferendare und Lehramtsanwärter,1,7
2012/13,04B01,Lehrkräfte,26,31
2012/13,04B01,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,04B02,Lehrkräfte,43,51
2012/13,04B02,Päd. Mitarbeiter(innen) / Unterrichtshilfen,0,1
2012/13,04B02,Studienreferendare und Lehramtsanwärter,0,5
2012/13,04B03,Lehrkräfte,60,14
2012/13,04B03,Studienreferendare und Lehramtsanwärter,2,1
2012/13,04B04,Lehrkräfte,26,60
2012/13,04B04,Studienreferendare und Lehramtsanwärter,0,1
2012/13,04B05,Lehrkräfte,29,71
2012/13,04B05,Studienreferendare und Lehramtsanwärter,0,2
2012/13,04B06,Lehrkräfte,34,41
2012/13,04B06,Studienreferendare und Lehramtsanwärter,1,4
2012/13,04B07,Lehrkräfte,14,57
2012/13,04B08,Lehrkräfte,9,18
2012/13,04B08,Studienreferendare und Lehramtsanwärter,1,0
2012/13,04G01,Erzieher(innen),2,14
2012/13,04G01,Lehrkräfte,1,27
2012/13,04G02,Erzieher(innen),0,1
2012/13,04G02,Lehrkräfte,3,15
2012/13,04G02,Studienreferendare und Lehramtsanwärter,1,3
2012/13,04G04,Erzieher(innen),4,25
2012/13,04G04,Lehrkräfte,13,49
2012/13,04G04,Studienreferendare und Lehramtsanwärter,0,1
2012/13,04G05,Erzieher(innen),1,9
2012/13,04G05,Lehrkräfte,4,16
2012/13,04G06,Erzieher(innen),3,10
2012/13,04G06,Lehrkräfte,5,24
2012/13,04G06,Studienreferendare und Lehramtsanwärter,0,1
2012/13,04G07,Erzieher(innen),2,9
2012/13,04G07,Lehrkräfte,8,15
2012/13,04G07,Studienreferendare und Lehramtsanwärter,0,1
2012/13,04G08,Erzieher(innen),1,18
