BSN	Schulname	Region	Schultraeger	Schulart	Schulzweig	PLZ	Strasse	Telefon	Fax	ORTSTEIL	Bauten	Fremdsprachen	spez_Angebote	Schulleitung	eMail	Internet	Ganztagsbetrieb	ZweiterBildungsweg	Grundschulteil	GymnasialeOberstufe	DualesLernen	BemerkungenSchulzweig		Leistungskurse	Schuljahr
01E08	Games Academy	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10179	Rungestr. 20	29779120	29779150	Mitte			Ergänzungsschule	Hr. Dlugaiczyk	info@games-academy.de	http://games-academy.de	 	0	0	0		für Bildungsgang: Game Design (anerkannte Ergänzungsschule); für diverse weitere Bildungsgänge (angezeigte Ergänzungsschule)			2014/15  
01E10	SiliconStudioAcademy-Berlin	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	13347	Groninger Str. 25	45601331	45601333	Wedding			Ergänzungsschule	Hr. Koch	info@siliconstudio.de	http://www.siliconstudio.de	 	0	0	0					2014/15  
01E12	SSI am Alex Institut für Tourismus und Marketing	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10178	Panoramastr. 1	28045379	28045381	Mitte			Ergänzungsschule	Fr. Smettan	ssiamalex@aol.com	http://www.ssi-berlin.de	 	0	0	0					2014/15  
01E13	Seminar für Waldorfpädagogik Berlin	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10178	Weinmeisterstr. 16	6187073	6124227	Mitte			Ergänzungsschule	Hr. Steinmann	info@lehrer-seminar-berlin.de	http://www.lehrer-seminar-berlin.de	 	0	0	0	 	 			2014/15  
01E16	ProInform International Academy Berlin	Mitte	privat	Wirtschafts- und Verwaltungsschule	Wirtschafts- u. Verwaltungsschule	10117	Friedrichstr. 200	22334433	24535982	Mitte			Ergänzungsschule	Hr. Schael	proinform@arcor.de	http://home.arcor.de/pr/proinform	 	0	0	0					2014/15  
01E18	BEST-Sabel-Touristikakademie	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10179	Rungestr. 18	64094985	64094987	Mitte			Ergänzungsschule	Fr. Dr. Pflicke	touristik@best-sabel.de	http://www.best-sabel.de	 	0	0	0		Ausbildung zur Staatlich anerkannte/r internationale/r Touristikassistent/in mit Vertiefungsrichtung Cruisemanagement ; Staatlich anerkannte/r internationale/r Touristikassistent/in ; Staatlich anerkannte/r internationale/r Hotelmanagementassistent/in			2014/15  
01E20	Pflegeschule am Brandenburger Tor	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10117	Wilhelmstr. 88	22489965	22489967	Mitte			Ergänzungsschule	Fr. Livchits	pflegedienst@01019freenet.de		 	0	0	0					2014/15  
01E21	IN.D INSTITUTE OF DESIGN	Mitte	privat	Künstlerische Schule	Künstlerische Schule	10179	Wallstr. 15A	27595190		Mitte			Ergänzungsschule	Fr. Krämer	info@ind-berlin.de	http://www.ind-berlin.de	 	0	0	0		Ausbildung zur/m Kommunikations-Designer/-in (3jährig)			2014/15  
01E25	GPB Gesellschaft für Personalentwicklung und Bildung mbH	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10117	Beuthstr. 8	9339480	93772355	Mitte			Ergänzungsschule	Fr. Herold	privatschule@gpb-berlin.de	http://www.gpb-berlin.de	 	0	0	0		Kaufmann/-frau für Marketingkommunikation (3-jährig, IHK); 3D-/ Game-Designer (2-jährig); Mediengestalter/-in Bild und Ton (IHK); Kaufmann/-frau im Gesundheitswesen; div. Ausbildungen im kaufm. und IT-Bereich; Rechtsanwalts- u. Notarfachangestellte/-r (RAK)-Vorbereitung auf die externe Prüfung vor der Rechtsanwaltskammer Berlin			2014/15  
01E26	Berlitz Sprachschule Berlin Mitte	Mitte	privat	Sprachenschule	Sprachenschule	10117	Friedrichstr. 95	2042124	2042161	Mitte			Ergänzungsschule	Hr. Gedrat	berlin4@berlitz.de	http://www.berlitz.de/berlin	 	0	0	0					2014/15  
01E27	pixelapostel GmbH	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10553	Wiebestr. 46	667767630	6677676316	Moabit			Ergänzungsschule	N.N.		http://www.pixelapostel.de	 	0	0	0					2014/15  
01E28	lingua franca	Mitte	privat	Sprachenschule	Sprachenschule	10117	Mauerstr. 77	86398080	86398082	Mitte			Ergänzungsschule	Hr. Arrigo	info@lingua-franca.de	http://www.lingua-franca.de	 	0	0	0					2014/15  
01E29	inlingua Sprachcenter Berlin GmbH	Mitte	privat	Sprachenschule	Sprachenschule	10117	Kronenstr. 55	88471190	884711999	Mitte			Ergänzungsschule	Hr. Ramsey	info@inlingua-berlin.de	http://www.inlingua-berlin.de	 	0	0	0					2014/15  
01E30	Ecole Voltaire Berlin	Mitte	privat	Ausländische Schule	Ausländische Schule	10785	Kurfürstenstr. 53	4110015	4110014	Tiergarten			Ergänzungsschule	Hr. Thiney	direction@ecolevoltaire.de	http://www.ecolevoltaire.de	 	0	0	0					2014/15  
01E31	Maskenbildnerschule Hasso von Hugo GmbH	Mitte	privat	Künstlerische Schule	Künstlerische Schule	10785	Lützowstr. 105 	6135620	6135720	Tiergarten			Ergänzungsschule	Fr. von Hugo	kontakt@maskenbildnerschule.de	http://www.maskenbildnerschule.de	 	0	0	0	 	 			2014/15  
01E32	Wave Akademie für Digitale Medien	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10557	Lehrter Str. 17	28869519	28869486	Moabit			Ergänzungsschule	Hr. Dickmann	info@wave-akademie.de	http://www.wave-akademie.de	 	0	0	0	 	Sounddesign; Tonmeister; 3D / Game Artist; Game Developer; Mediendesign AV; Musik- und Medienmanagement (2-jährig); Audio Enginee; Music Producer; Game Design (1-jährig)			2014/15  
01E33	Kosmetikcollege-Inspiration	Mitte	privat	Kosmetikschule	Kosmetikschule	10117	Französische Str. 28	81493664	68408288	Mitte			Ergänzungsschule	Fr. Stollenwerk	info@inspiration-kosmetikcollege.de	http://www.inspiration-kosmetikcollege.de	 	0	0	0					2014/15  
01E34	Berlin Metropolitan School - Sekundarstufe II	Mitte	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10115	Linienstr. 122-124	88727390	887273920	Mitte			Ergänzungsschule	Hr. Hinves	info@metropolitanschool.com	http://www.metropolitanschool.com/en/home.html	 	0	0	0	 	Vorbereitung auf das International Baccalaureate Diploma (IB-Diplom)			2014/15  
01G01	Grundschule am Arkonaplatz	Mitte	öffentlich	Grundschule	Grundschule	10115	Ruppiner Str. 47-48	48625680	486256820	Mitte		1. Fremdsprache Englisch, 1. Fremdsprache Französisch	sprachbetontes Profil, Ganztagsschule in gebundener Form, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Staatliche Europa-Schule Berlin Deutsch/Französisch	Fr. Große	info@grundschule-am-arkonaplatz.de	http://www.grundschuleamarkonaplatz.de	 	0	0	0		Modellschule im Projekt "Schulqualität in Berlin"; Klassen mit Montessori-orientiertem Unterricht; Klassen mit Einzelintegration			2014/15  
01G02	Papageno-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10115	Bergstr. 58	30881711	30881710	Mitte		1. Fremdsprache Englisch	musikbetontes Profil, Umwelterziehung, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen	Fr. Stemmler	papageno-grundschule.cids@t-online.de	http://www.papageno.cidsnet.de	 	0	0	0		Einzelintegration			2014/15  
01G04	Kastanienbaum-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10119	Gipsstr. 23A	275816330	275816350	Mitte		1. Fremdsprache Englisch, Fremdsprache ab Klasse 1 Englisch	Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen	Fr. Neßnau	sekretariat@kastanienbaumgrundschule.de	http://www.kastanienbaumgrundschule.de	 	0	0	0		"Kunst des Lernens" mit den Schwerpunkten: Sprache, Kunst, Musik, Naturwissenschaften und Bewegung			2014/15  
01G05	Grundschule Neues Tor	Mitte	öffentlich	Grundschule	Grundschule	10115	Hannoversche Str. 20	24088330	24088340	Mitte		1. Fremdsprache Englisch	Ganztagsschule in gebundener Form, Staatliche Europa-Schule Berlin Deutsch/Portugiesisch	Hr. Riemer	post@neues-tor.de	http://www.neues-tor.de	 	0	0	0					2014/15  
01G07	GutsMuths-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10179	Singerstr. 8	2408386	24083888	Mitte		1. Fremdsprache Englisch	sportbetontes Profil, Ganztagsschule in offener Form, Neigungsorientierte Einrichtung von Klassen, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen	Fr. Schlaak	GutsMuths-Grundschule@t-online.de	http://www.gutsmuths-g.cidsnet.de	 	0	0	0		Teilnahme an Jugend trainiert für Olympia (Schwimmen & Leichtatheltik)			2014/15  
01G08	Grundschule am Brandenburger Tor	Mitte	öffentlich	Grundschule	Grundschule	10117	Wilhelmstr. 52	20629430	20629440	Mitte	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch	Ganztagsschule in gebundener Form, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Staatliche Europa-Schule Berlin Deutsch/Russisch	Hr. Köller	GS_am_Brandenburger_Tor.cids@t-online.de	http://www.Grundschule-am-Brandenburger-Tor.de	 	0	0	0		Informatikunterricht in Jahrgangsstufe 5 / 6			2014/15  
01G10	City-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10179	Sebastianstr. 57	28449060	28449070	Mitte		1. Fremdsprache Englisch	Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen	Hr. Schmidt	info@city-grundschule.de	http://www.city-grundschule.de	 	0	0	0					2014/15  
01G11	Kurt-Tucholsky-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10559	Rathenower Str. 18	3974429310	3974429338	Moabit	rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch	Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen	Fr. Pakulat	info@kurt-tucholsky-grundschule.de	http://www.kurt-tucholsky-grundschule.de	 	0	0	0		Schwerpunkt Gesundheit; Teilnahme am Projekt "Musikalische Grundschule"			2014/15  
01G15	Anne-Frank-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10557	Paulstr. 20B	20629180	20629188	Moabit	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Fremdsprache ab Klasse 1 Englisch	sportbetontes Profil, theaterbetontes Profil, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Lerngruppen für Neuzugänge ohne Deutschkenntnisse	komm. Fr. Kleiber	sekretariat@anne-frank-grundschule.de	http://anne-frank-grundschule.de	 	0	0	0		tägliches Mediationsangebot; Schulgartenarbeit			2014/15  
01G16	Moabiter Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10557	Paulstr. 28	30208630	30208640	Moabit		1. Fremdsprache Englisch	Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen	Fr. Zeibig	moabiter.gs.berlin@gmail.com	http://www.moabiter-grundschule.de	 	0	0	0		Schülerlotsenausbildung; Mediation			2014/15  
01G18	Carl-Bolle-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10551	Waldenserstr. 20-21	397457810	397457811	Moabit		1. Fremdsprache Englisch	sportbetontes Profil, mathematisch-naturwissenschaftliches Profil, Schulstation, Ganztagsschule in gebundener Form, Inklusiver Unterricht/Inklusive Erziehung, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Lerngruppen für Neuzugänge ohne Deutschkenntnisse	Fr. Schmidt	info@carl-bolle.cidsnet.de	http://www.carl-bolle.cidsnet.de	 	0	0	0		Schwimmunterricht ab 2. Klasse, Zertifikat "Gesunde Schule", interkulturelle Erziehung, "Kleine Forscher			2014/15  
01G19	Hansa-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	10555	Lessingstr. 5	39806430	39806434	Hansaviertel	zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch	sprachbetontes Profil, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen	Hr. Scholz	info@hansa.cidsnet.de	http://www.hansa@hansa.cidsnet.de	 	0	0	0		Computerunterstütztes Lernen ab der 2. Klasse			2014/15  
01G24	Gottfried-Röhl-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	13349	Ungarnstr. 75	45081110	45081120	Wedding		1. Fremdsprache Englisch	Ganztagsschule in offener Form, jahrgangsübergreifende Lerngruppen 1-3, 4-6, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Schulstation	Hr. Novè	roehl-grundschule-berlin@t-online.de	http://www.gottfried-roehl-grundschule.de	 	0	0	0		EPU (Entwicklungspäd. Unterricht)			2014/15  
01G25	Rudolf-Wissell-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	13357	Ellerbeker Str. 7-8	49799940	497999420	Gesundbrunnen		1. Fremdsprache Englisch	gesundheitsbetontes Profil, Ganztagsschule in offener Form, jahrgangsübergreifende Lerngruppen 1-3, 4-6, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, Lerngruppen für Neuzugänge ohne Deutschkenntnisse	Fr. Stobernack	info@rudolf-wissell-grundschule.de	http://www.rudolf-wissell-grundschule.de	 	0	0	0		Im Schulgebäude befinden sich das Pädagogische Forum Mitte (PIZ), die Mathematik-Werkstatt und die Deutsch-als-Zweitsprache-Lehr-und Lernwerkstatt.			2014/15  
01G27	Gesundbrunnen-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	13357	Prinzenallee 8	493015660	493015666	Gesundbrunnen	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch	sportbetontes Profil, gesundheitsbetontes Profil, Schulstation, Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Lerngruppen für Neuzugänge ohne Deutschkenntnisse	Fr. Krüger	gesundbrunnenschule@gmx.de	http://www.gesundbrunnen-grundschule.de	 	0	0	0					2014/15  
01G28	Brüder-Grimm-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	13353	Tegeler Str. 18-19	4530840	45308415	Wedding	rollstuhlgerechter Aufzug, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Fremdsprache ab Klasse 1 Englisch	Schulstation, Ganztagsschule in offener Form, jahrgangsübergreifende Lerngruppen 1-3, 4-6	Hr. Pohl	bggs-berlin@web.de	http://brueder-grimm.cidsnet.de	 	0	0	0		EPU (Entwicklungspäd. Unterricht), EPU-Ausbildung, Zahngesundheitserziehung(LAG), Deutschkurse für Mütter(VHS), Ausleihbücherei, Lerntherapie, Basislerngruppen für Geistigbehinderte, Konfliktlotsen			2014/15  
01G29	Wilhelm-Hauff-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	13359	Gotenburger Str. 8	48490810	48490820	Gesundbrunnen		1. Fremdsprache Englisch	kunstbetontes Profil, kunstbetontes Profil, Ganztagsschule in offener Form, Inklusiver Unterricht/Inklusive Erziehung, jahrgangsübergreifende Lerngruppen 1-3, 4-6	Fr. Aden	wilhelm-hauff-grundschule@web.de	http://wilhelm-hauff-grundschule.de	 	0	0	0		1 altersgemischter Montessori-Zug ( Kl.1 bis 3 und Kl. 4 bis 6 )			2014/15  
01G31	Wedding-Grundschule	Mitte	öffentlich	Grundschule	Grundschule	13347	Antonstr. 10	901844250	901847437	Wedding	rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch	Schulstation, Ganztagsschule in gebundener Form, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, zweisprachige Alphabetisierung und Erziehung deutsch-türkisch	Fr. Suhr	asuhr@wedding-schule.de	http://www.wedding-schule.de	 	0	0	0		Mitglied im Bildungsverbund Pankstraße			2014/15  
